Domain;IP;Port;Time Expired;Correct CN;Signature Algorithm;Public Key Algorithm;Public Key Size;Subject CN;Subject C;Subject ST;Subject L;Subject O;Subject OU;Subject Email;Valid not after;Valid not before;Serial Number;Version;Issuer ST;Issuer C;Issuer L;Issuer O;Issuer OU;Issuer CN;
www.1and1.fr;23.52.2.59;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;www.1and1.com;None;None;None;None;Domain Control Validated;None;Apr 24 23:59:59 2014 GMT;Jul 18 00:00:00 2013 GMT;210511106594064254166877313857598123488;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;COMODO SSL CA;
www.1fichier.com;5.39.224.128;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.1fichier.com;FR;None;None;*.1fichier.com;GT91339487;None;Apr 15 03:09:19 2015 GMT;Apr 11 21:50:51 2012 GMT;396596;2;None;US;None;GeoTrust, Inc.;None;RapidSSL CA;
www.1mall.com;180.153.252.45;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.1mall.com;CN;‰∏äÊµ∑Â∏Ç;‰∏äÊµ∑Â∏Ç;‰∏äÊµ∑‰º†Áª©ÁîµÂ≠êÂïÜÂä°ÊúâÈôêÂÖ¨Âè∏;None;None;Nov  2 01:15:36 2014 GMT;Sep 30 01:26:20 2013 GMT;5062009686616454;2;None;CN;None;WoSign eCommerce Services Limited;None;WoSign Class 3 OV Server CA;
www.1tv.ru;83.229.138.116;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.1tv.ru;RU;Moscow;Moscow;Channel One Russia;Internet;None;May 15 23:59:59 2014 GMT;May 15 00:00:00 2012 GMT;3410081582733212692588439278767559483;2;None;US;None;Thawte, Inc.;None;Thawte SSL CA;
www.1und1.de;23.48.226.59;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;www.1and1.com;None;None;None;None;Domain Control Validated;None;Apr 24 23:59:59 2014 GMT;Jul 18 00:00:00 2013 GMT;210511106594064254166877313857598123488;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;COMODO SSL CA;
www.20minutes.fr;95.131.141.135;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.20minutes.fr;FR;Paris;Paris;20 MINUTES FRANCE;web;None;Apr 26 23:59:59 2014 GMT;Apr  2 00:00:00 2013 GMT;57673986445747930923935686574630492100;2;None;FR;None;GANDI SAS;None;Gandi Pro SSL CA;
www.24h.com.vn;123.30.129.148;443;FAIL;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;localhost.localdomain;--;SomeState;SomeCity;SomeOrganization;SomeOrganizationalUnit;root@localhost.localdomain;Dec  6 20:10:03 2012 GMT;Dec  7 20:10:03 2011 GMT;29203;2;SomeState;--;SomeCity;SomeOrganization;SomeOrganizationalUnit;localhost.localdomain;
www.2ch-c.net;125.206.230.231;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;None;None;None;None;None;Domain Control Validated;None;Jun 18 23:59:59 2014 GMT;Oct  7 00:00:00 2013 GMT;106112246687375228791884047197453840382;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;PositiveSSL CA 2;
www.2shared.com;83.222.126.242;443;FAIL;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;*.4shared.com;None;None;None;*.4shared.com;Domain Control Validated;None;Jul 16 11:49:41 2011 GMT;Jul 16 11:49:41 2009 GMT;1105313343289871;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.315che.com;218.92.221.55;443;FAIL;FAIL;md5WithRSAEncryption;rsaEncryption;1024;all;cn;fj;xm;cnc;sw;cdn@chinanetcenter.com;Oct 14 07:34:42 2005 GMT;Sep 14 07:34:42 2005 GMT;0;2;fj;cn;xm;cnc;sw;all;
www.37signals.com;204.62.114.179;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.37signals.com;None;None;None;None;GT87980038;None;Oct 26 03:45:15 2016 GMT;Sep 24 03:44:26 2013 GMT;929804;2;None;US;None;GeoTrust, Inc.;None;RapidSSL CA;
www.3asq.com;74.115.212.82;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.3djuegos.com;194.143.195.193;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;qr1;None;None;None;Proxmox Virtual Environment;PVE Cluster Node;None;Feb 28 17:58:54 2023 GMT;Mar  2 17:58:54 2013 GMT;1;2;None;None;None;PVE Cluster Manager CA;89eebd873371245349a2f053194914c4;Proxmox Virtual Environment;
www.4chan.org;190.93.245.6;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;ssl2744.cloudflare.com;US;CA;San Francisco;CloudFlare, Inc.;None;None;Dec  1 13:19:18 2017 GMT;Jan 15 20:30:22 2013 GMT;1492421214615706789236263716496341172018305;2;None;BE;None;GlobalSign nv-sa;None;GlobalSign Organization Validation CA - G2;
www.4dsply.com;69.89.74.80;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;4096;invalid.ssl.host.com;US;N/A;N/A;N/A;None;None;Mar 18 22:02:02 2023 GMT;Mar 18 22:02:02 2013 GMT;16588030743543814950;0;N/A;US;N/A;N/A;None;invalid.ssl.host.com;
www.4shared.com;199.101.134.235;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.4shared.com;None;None;None;None;Domain Control Validated;None;Jul 16 11:49:41 2015 GMT;May 31 15:34:03 2013 GMT;21219069218354362;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.500px.com;209.15.228.200;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.500px.com;None;None;None;None;Domain Control Validated;None;Apr 30 23:59:59 2014 GMT;Apr 30 00:00:00 2013 GMT;269839831605828293021745716100722404297;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;PositiveSSL CA 2;
www.6park.com;173.192.228.113;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.6pm.com;81.20.66.96;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.7go.com;208.43.236.203;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;www.ibario.com;None;None;None;None;Go to https://www.thawte.com/repository/index.html;None;Feb  6 23:59:59 2015 GMT;Feb  6 00:00:00 2013 GMT;52253115423888016892856750683899726192;2;None;US;None;Thawte, Inc.;Domain Validated SSL;Thawte DV SSL CA;
www.7k7k.com;218.92.227.120;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;dynamic.12306.cn;CN;None;None;Sinorail Certification Authority;î¡çÔ[¢b7gR°N-_√;None;Jun  6 13:34:39 2014 GMT;Jan 22 13:34:39 2013 GMT;4474691858901235463;2;None;CN;None;Sinorail Certification Authority;None;SRCA;
www.7search.com;12.171.94.40;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;7Search.com;None;None;None;7Search.com;Domain Control Validated;None;Jul  6 15:43:13 2015 GMT;Jul  6 15:43:13 2012 GMT;22184832919709716;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.888casino.com;213.52.252.59;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.888casino.com;None;None;None;*.888casino.com;Domain Control Validated;None;Apr 27 06:01:59 2014 GMT;Apr 27 06:01:59 2011 GMT;21122712620119502;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.888.com;213.52.252.81;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.888.com;None;None;None;*.888.com;Domain Control Validated;None;Jun 19 15:05:40 2014 GMT;Jun 19 15:05:40 2011 GMT;21200939376276253;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.888poker.com;213.52.252.82;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.888poker.com;None;None;None;*.888poker.com;Domain Control Validated;None;Jul 14 17:59:09 2014 GMT;Jul 14 17:59:09 2011 GMT;1245312829814895;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.8tracks.com;23.21.128.44;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;8tracks.com;US;NY;New York;8tracks, Inc.;InstantSSL;None;Oct 22 23:59:59 2013 GMT;Sep 25 00:00:00 2011 GMT;113677050059173038309951517898955611173;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;COMODO High-Assurance Secure Server CA;
www.99acres.com;46.33.75.9;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.99designs.com;54.225.227.229;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;*.99designs.mx;US;California;San Francisco;99Designs, Inc.;None;hostmaster@99designs.mx;Mar 11 04:07:03 2015 GMT;Mar  9 16:31:53 2013 GMT;83384;2;None;IL;None;StartCom Ltd.;Secure Digital Certificate Signing;StartCom Class 2 Primary Intermediate Server CA;
www.9gag.com;50.18.123.88;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;9gag.com;None;None;None;None;Domain Control Validated;None;Oct 21 07:40:34 2014 GMT;Sep 12 02:46:32 2013 GMT;1168242288937287;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.a10.com;151.249.94.205;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;ssl2.cdngc.net;US;California;San Jose;CDNetworks Inc.;None;None;Feb 19 12:00:00 2014 GMT;Jan 17 00:00:00 2012 GMT;14778614240754370697548897010191854586;2;None;US;None;DigiCert Inc;www.digicert.com;DigiCert High Assurance CA-3;
www.a8.net;203.190.224.80;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.a8.net;None;None;None;None;Domain Control Validated;None;Apr 20 03:16:17 2016 GMT;Feb 25 08:29:41 2013 GMT;1492286286851017003103412854045324821585860;2;None;BE;None;GlobalSign nv-sa;None;GlobalSign Domain Validation CA - G2;
www.aa.com;23.45.173.41;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;www.aa.com;US;Texas;Fort Worth;American Airlines, Inc.;None;None;Dec 14 00:44:09 2013 GMT;Oct 13 19:22:26 2011 GMT;1277187761;2;None;US;None;Entrust, Inc.;www.entrust.net/rpa is incorporated by reference;Entrust Certification Authority - L1E;
www.abc.es;81.20.66.72;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.abchina.com;124.74.251.240;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;www.95599.cn;None;None;None;ABC;Agricultural Bank of China;None;Aug 11 05:38:49 2023 GMT;Aug 15 09:56:02 2003 GMT;583651095928959292932104;2;None;None;None;ABC;None;ABC;
www.abc.net.au;81.20.66.19;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.abola.pt;193.126.232.45;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.about.me;64.12.249.149;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;about.me;US;CA;San Francisco;Pumpkinhead;about.me;None;May 13 15:19:21 2015 GMT;May 13 15:19:21 2013 GMT;37848252518661742271067050099913587644;2;Virginia;US;Dulles;America Online Inc.;None;AOL Member CA;
www.aboutus.org;207.162.210.85;443;FAIL;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.aboutus.org;US;Oregon;Portland;AboutUs, Inc.;None;None;Mar  6 12:00:00 2013 GMT;Mar  2 00:00:00 2011 GMT;8591446185514516675609690243073227072;2;None;US;None;DigiCert Inc;www.digicert.com;DigiCert High Assurance CA-3;
www.abril.com.br;217.212.241.80;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.abs-cbnnews.com;66.29.208.5;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.abv.bg;194.153.145.104;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.abv.bg;None;None;None;*.abv.bg;Domain Control Validated;None;Mar 25 07:25:59 2014 GMT;Feb 10 08:30:47 2012 GMT;11275649711755579;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.academia.edu;54.228.202.168;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.academia.edu;None;None;None;None;Domain Control Validated;None;Sep 26 23:59:59 2014 GMT;Sep 26 00:00:00 2013 GMT;135833269372227022886257723192208690440;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;PositiveSSL CA 2;
www.accountonline.com;192.193.200.101;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;www.accountonline.com;US;New York;New York;Citigroup Inc.;rncardsweb07-443;None;Jun  7 23:59:59 2015 GMT;Jun  6 00:00:00 2013 GMT;65072969455949447153663449308196918397;2;None;US;None;VeriSign, Inc.;VeriSign Trust Network;VeriSign Class 3 Extended Validation SSL SGC CA;
www.accuweather.com;81.20.66.66;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.acesse.com;54.243.87.116;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.acesse.com;None;None;None;None;Domain Control Validated;None;Aug 16 17:47:42 2015 GMT;Aug 16 17:47:42 2013 GMT;22223975807547348;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.activesearchresults.com;71.162.135.84;443;OK;FAIL;md5WithRSAEncryption;rsaEncryption;1024;ORname_Actiontec: Actiontec Electronics, Inc.;US;None;None;None;None;None;Mar  3 20:07:52 2026 GMT;Mar  8 20:07:52 2006 GMT;11975607234656310533;2;None;US;None;None;None;ORname_Actiontec: Actiontec Electronics, Inc.;
www.ad4game.com;108.168.160.69;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.ad4game.com;None;None;None;*.ad4game.com;Domain Control Validated;None;Jan 16 23:21:12 2015 GMT;Jan 16 23:21:12 2012 GMT;12182671902471958;2;Arizona;US;Scottsdale;GoDaddy.com, Inc.;http://certificates.godaddy.com/repository;Go Daddy Secure Certification Authority;
www.ad6media.fr;94.143.115.209;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;r.ad6media.fr;None;None;None;r.ad6media.fr;Domain Control Validated;None;Nov  9 16:27:26 2014 GMT;Nov  9 16:27:26 2012 GMT;1168654083671614;2;Arizona;US;Scottsdale;Starfield Technologies, Inc.;http://certificates.starfieldtech.com/repository;Starfield Secure Certification Authority;
www.adbooth.net;192.31.186.24;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.adcash.com;72.52.178.206;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.adcash.com;None;None;None;None;GT35800030;None;Oct 11 14:41:06 2014 GMT;Sep  8 15:55:01 2013 GMT;911791;2;None;US;None;GeoTrust, Inc.;None;RapidSSL CA;
www.add-anime.net;141.101.121.101;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;ssl4062.cloudflare.com;US;CA;San Francisco;CloudFlare, Inc.;None;None;Jan 15 15:01:29 2018 GMT;Aug 30 18:29:06 2013 GMT;1492426977638412585769657487183564112048921;2;None;BE;None;GlobalSign nv-sa;None;GlobalSign Organization Validation CA - G2;
www.addthis.com;208.51.38.204;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.addthis.com;US;Virginia;McLean;Clearspring Technologies, Inc.;IT;None;Jan  7 12:00:00 2015 GMT;Jan  3 00:00:00 2012 GMT;8119011442294229965252211947400944918;2;None;US;None;DigiCert Inc;www.digicert.com;DigiCert High Assurance CA-3;
www.adhitprofits.com;66.219.23.30;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;adhitprofits.com;None;None;None;None;Domain Control Validated;None;May 19 23:59:59 2014 GMT;May 19 00:00:00 2013 GMT;243793738157890100961135145717281241689;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;EssentialSSL CA;
www.admcsport.com;87.248.205.156;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;*.hs.llnwd.net;US;Arizona;Tempe;Limelight Networks, Inc.;None;None;Nov 13 07:43:22 2013 GMT;Sep 12 06:58:00 2012 GMT;1406910;2;None;US;None;Equifax;Equifax Secure Certificate Authority;None;
www.admitad.com;212.224.118.164;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;www.admitad.com;DE;Bayern;Oberhaching;admitad GmbH;Geschaeftsleitung;None;Nov 19 15:38:33 2014 GMT;Oct 19 15:38:33 2012 GMT;1492323989670665661720498874067381100298776;2;None;BE;None;GlobalSign nv-sa;None;GlobalSign Extended Validation CA - G2;
www.ad.nl;81.20.66.27;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.adnxs.com;8.12.226.201;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.adnxs.com;US;New York;New York;AppNexus, Inc;None;None;Jun 29 02:15:54 2015 GMT;Jun 25 19:23:09 2012 GMT;99266;2;None;US;None;GeoTrust, Inc.;None;GeoTrust SSL CA;
www.adobe.com;193.104.215.61;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;www.adobe.com;US;California;San Jose;Adobe Systems Incorporated;IT;None;Nov 23 23:59:59 2014 GMT;Nov  4 00:00:00 2012 GMT;49914165954905614400667014898855472416;2;None;US;None;VeriSign, Inc.;VeriSign Trust Network;VeriSign Class 3 International Server CA - G3;
www.adp.com;170.146.234.214;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.adreactor.com;50.22.55.114;443;FAIL;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;None;GB;None;London;Exact Media;None;None;Oct 16 13:41:08 2012 GMT;Oct 17 13:41:08 2011 GMT;9466027031117615247;0;None;GB;London;Exact Media;None;None;
